5.248000e-02, -0.000000e+00, -5.119434e-05, -0.000000e+00, -5.120644e-05, 5.121157e-05, -5.120644e-05, -5.121157e-05
-5.119899e-05, 1.236089e-04, -5.119992e-05, -2.120808e-05, -5.119946e-05, 2.120761e-05, -5.119946e-05, -1.236084e-04
-5.119853e-05, 2.574003e-04, -5.120039e-05, -1.018541e-05, -5.119946e-05, 3.420981e-05, -5.119946e-05, -7.662689e-05
-5.119899e-05, 7.662782e-05, -5.119992e-05, -3.420981e-05, -5.119992e-05, 1.018541e-05, -5.119899e-05, -2.573994e-04
-5.119760e-05, 5.198461e-04, -5.119946e-05, -5.043577e-06, -5.119946e-05, 4.201708e-05, -5.120318e-05, -6.238790e-05
-5.119853e-05, 9.578932e-05, -5.119946e-05, -2.736691e-05, -5.119992e-05, 1.553120e-05, -5.119992e-05, -1.687841e-04
-5.119853e-05, 1.687845e-04, -5.119946e-05, -1.553167e-05, -5.119806e-05, 2.736645e-05, -5.119992e-05, -9.578886e-05
-5.120225e-05, 6.238883e-05, -5.119853e-05, -4.201708e-05, -5.119992e-05, 5.042180e-06, -5.119899e-05, -5.198419e-04
-5.119527e-05, 1.042203e-03, -5.119806e-05, -2.513174e-06, -5.119992e-05, 4.640268e-05, -5.120086e-05, -5.649263e-05
-5.119899e-05, 1.082555e-04, -5.119899e-05, -2.421578e-05, -5.119899e-05, 1.831958e-05, -5.119899e-05, -1.430935e-04
-5.119992e-05, 2.044020e-04, -5.119899e-05, -1.282524e-05, -5.119946e-05, 3.068848e-05, -5.119946e-05, -8.542230e-05
-5.119899e-05, 6.903661e-05, -5.119992e-05, -3.797421e-05, -5.119946e-05, 7.594936e-06, -5.119946e-05, -3.451630e-04
-5.119573e-05, 3.451663e-04, -5.119946e-05, -7.594470e-06, -5.120039e-05, 3.797421e-05, -5.120039e-05, -6.903475e-05
-5.119946e-05, 8.542230e-05, -5.119946e-05, -3.068754e-05, -5.119853e-05, 1.282571e-05, -5.120039e-05, -2.044016e-04
-5.119853e-05, 1.430945e-04, -5.119946e-05, -1.831958e-05, -5.119853e-05, 2.421578e-05, -5.119946e-05, -1.082546e-04
-5.119992e-05, 5.649356e-05, -5.119992e-05, -4.640268e-05, -5.119806e-05, 2.514105e-06, -5.119806e-05, -1.042199e-03
-5.118316e-05, 2.085676e-03, -5.120086e-05, -1.254957e-06, -5.119434e-05, 4.875427e-05, -5.120086e-05, -5.378155e-05
-5.119946e-05, 1.155059e-04, -5.120039e-05, -2.269493e-05, -5.119899e-05, 1.974870e-05, -5.120086e-05, -1.327302e-04
-5.119992e-05, 2.280036e-04, -5.119992e-05, -1.149718e-05, -5.119899e-05, 3.242213e-05, -5.120086e-05, -8.085463e-05
-5.119899e-05, 7.269857e-05, -5.120086e-05, -3.606034e-05, -5.119946e-05, 8.882023e-06, -5.120039e-05, -2.950719e-04
-5.119899e-05, 4.151231e-04, -5.120086e-05, -6.314367e-06, -5.119946e-05, 3.995700e-05, -5.120039e-05, -6.560655e-05
-5.119853e-05, 9.037973e-05, -5.119853e-05, -2.900371e-05, -5.119899e-05, 1.416914e-05, -5.119806e-05, -1.850128e-04
-5.119573e-05, 1.549837e-04, -5.119946e-05, -1.691608e-05, -5.119946e-05, 2.577016e-05, -5.119946e-05, -1.017167e-04
-5.120039e-05, 5.935691e-05, -5.119666e-05, -4.416425e-05, -5.120086e-05, 3.776047e-06, -5.119992e-05, -6.940993e-04
-5.119620e-05, 6.941087e-04, -5.120179e-05, -3.778841e-06, -5.119853e-05, 4.416239e-05, -5.119946e-05, -5.935784e-05
